t,z_m,v_m,eds
4.1841841841841845,-85509.3013710821,-40811.916313450914,0
4.1941941941941945,-85918.31604163826,-40909.210536996776,0
4.2042042042042045,-86328.30450081374,-41006.479161248884,0
4.2142142142142145,-86739.26648864552,-41103.72169521962,0
4.2242242242242245,-87151.20174209321,-41200.93774356709,0
4.2342342342342345,-87564.10999550603,-41298.12700773079,0
4.2442442442442445,-87977.99098062291,-41395.28928593154,0
4.2542542542542545,-88392.84442657237,-41492.42447317151,0
4.2642642642642645,-88808.6700605007,-41589.53256108253,0
4.2742742742742745,-89225.46761225302,-41686.61364036031,0
4.2842842842842845,-89643.23681124269,-41783.667903398185,0
4.2942942942942945,-90061.9773903467,-41880.69563722414,0
4.3043043043043046,-90481.68908679397,-41977.69722275307,0
4.314314314314315,-90902.37164216532,-42074.67313478681,0
4.324324324324325,-91324.0248023935,-42171.623942014136,0
4.334334334334335,-91746.64831790912,-42268.55030648165,0
4.344344344344345,-92170.24194803818,-42365.4529718262,0
4.354354354354355,-92594.80545912894,-42462.33277666699,0
4.364364364364365,-93020.338626448,-42559.19063855585,0
4.374374374374375,-93446.84123584154,-42656.02754629684,0
4.384384384384385,-93874.31308373522,-42752.8445599463,0
4.394394394394395,-94302.75397713431,-42849.64281081282,0
4.404404404404405,-94732.16373362353,-42946.423501457226,0
4.414414414414415,-95162.54218242213,-43043.18789648645,0
4.424424424424425,-95593.88916770337,-43139.937307119166,0
4.434434434434435,-96026.20454583972,-43236.67311404494,0
4.444444444444445,-96459.48818769584,-43333.3967311728,0
4.454454454454455,-96893.73997883796,-43430.10960324245,0
4.464464464464465,-97328.95981953392,-43526.81320582424,0
4.474474474474475,-97765.14762475314,-43623.509045319224,0
4.484484484484485,-98202.30332416658,-43720.19865895911,0
4.494494494494495,-98640.42686229627,-43816.883606091775,0
4.504504504504505,-99079.51820033575,-43913.56543345496,0
4.514514514514515,-99519.57731571629,-44010.2457213687,0
4.524524524524525,-99960.60420106797,-44106.92603647858,0
4.534534534534535,-100402.59886422007,-44203.607924678305,0
4.544544544544545,-100845.56132820115,-44300.29291110967,0
4.554554554554555,-101289.49163123894,-44396.98250016257,0
4.564564564564565,-101734.38982676041,-44493.678175475,0
4.574574574574575,-102180.25598339178,-44590.381399933045,0
4.584584584584585,-102627.090183895,-44687.09359977351,0
4.594594594594595,-103074.89252446467,-44783.81613446273,0
4.604604604604605,-103523.66311711042,-44880.550338721085,0
4.614614614614615,-103973.40208532741,-44977.29748181241,0
4.624624624624625,-104424.1095638797,-45074.058764967325,0
4.634634634634635,-104875.78569880026,-45170.83532138316,0
4.644644644644645,-105328.430647391,-45267.62821622401,0
4.654654654654655,-105782.04457822275,-45364.43844662075,0
4.664664664664665,-106236.62767113525,-45461.266941670954,0
4.674674674674675,-106692.18011382729,-45558.11454718395,0
4.684684684684685,-107148.70210071358,-45654.982012477034,0
4.694694694694695,-107606.1938357618,-45751.87000917587,0
4.704704704704705,-108064.65552722818,-45848.77911461209,0
4.714714714714715,-108524.08738760828,-45945.70981163585,0
4.724724724724725,-108984.48963363707,-46042.662488615875,0
4.734734734734735,-109445.86248628898,-46139.63743943945,0
4.744744744744745,-109908.20617077776,-46236.63486351241,0
4.754754754754755,-110371.52091465515,-46333.654864758115,0
4.764764764764765,-110835.80694261215,-46430.69744373895,0
4.774774774774775,-111301.06448158984,-46527.76250154306,0
4.784784784784785,-111767.29375556449,-46624.84984380618,0
4.794794794794795,-112234.4949851154,-46721.95918071773,0
